 ,<author>,<title>,<address>,<email>,<affiliation>,<other>,
<author>,314,3,2,1,11,3,
<title>,3,242,0,0,12,3,
<address>,7,0,272,1,28,12,
<email>,1,0,1,303,4,8,
<affiliation>,8,7,21,1,503,14,
<other>,0,0,4,1,0,38,

类别,准确率,召回率,F1值,样本个数
<author>,0.942942942943,0.940119760479,0.941529235382,334
<title>,0.960317460317,0.930769230769,0.9453125,260
<address>,0.906666666667,0.85,0.877419354839,320
<email>,0.986970684039,0.955835962145,0.971153846154,317
<affiliation>,0.901433691756,0.907942238267,0.904676258993,554
<other>,0.487179487179,0.883720930233,0.628099173554,43
