 ,<web>,<keyword>,<author>,<title>,<abstract>,<pubnum>,<date>,<address>,<email>,<phone>,<page>,<note>,<affiliation>,<degree>,<intro>,
<web>,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,
<keyword>,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,
<author>,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,
<title>,0,259,0,0,0,0,0,0,0,0,0,1,0,0,0,
<abstract>,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,
<pubnum>,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,
<date>,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,
<address>,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,
<email>,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,
<phone>,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,
<page>,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,
<note>,0,132,0,0,0,0,0,0,0,0,0,21,0,0,0,
<affiliation>,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,
<degree>,0,38,0,0,0,0,0,0,0,0,0,1,0,0,0,
<intro>,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,

类别,准确率,召回率,F1值,样本个数
<web>,0,0.0,0,8
<keyword>,0.0189794648413,1.0,0.0372519083969,61
<author>,0,0.0,0,211
<title>,0,0.0,0,260
<abstract>,0,0.0,0,1724
<pubnum>,0,0.0,0,17
<date>,0,0.0,0,40
<address>,0,0.0,0,164
<email>,0,0.0,0,109
<phone>,0,0.0,0,16
<page>,0,0.0,0,44
<note>,0.913043478261,0.137254901961,0.238636363636,153
<affiliation>,0,0.0,0,283
<degree>,0,0.0,0,39
<intro>,0,0.0,0,108
